1;1621.03;1333.62;555.34;557.41;568.45;576.90;583.79;646.72;650.86;665.00;1364.31;1358.28;1371.03;1348.45;1387.93;1620.69;1627.76;1621.55;1626.38;1621.55;1623.28;1622.76;1628.28;1627.24;1625.69;1631.72;1631.72;1643.62;1647.41;1668.10;1378.97;1739.14;1327.41;1208.10;358.97;345.52;121.72;175.86;330.86;362.93;342.93;377.07;216.72;400.52;192.07;190.86;176.21;171.38;170.69;166.72;164.14;156.38;163.10;162.93;162.59;163.28;168.10;164.48;173.45;178.28;175.52;187.76;206.90;191.90;284.48;639.31;235.52;614.83;604.83;609.31;551.38;553.79;0.00;0.00;0.00;0.00
2;1509.66;382.24;382.59;545.52;550.52;568.97;1150.00;1168.10;1178.62;1521.90;1515.17;1513.79;1519.48;1507.07;1508.45;1506.72;1509.48;1508.10;1502.41;1509.31;1503.79;1512.07;1506.90;1515.00;1512.41;1521.03;1520.52;1520.86;1540.00;507.41;1562.76;481.55;432.07;388.10;362.24;351.72;277.24;359.14;353.62;366.03;376.21;379.66;384.66;444.31;306.21;297.59;290.34;291.38;289.31;283.45;278.10;277.24;275.00;276.90;277.24;278.45;278.28;277.76;283.62;106.90;106.55;102.41;105.34;108.97;317.41;335.69;660.69;632.93;653.97;572.07;552.07;572.41;354.50;0.00;1010.00;0.00
3;1397.76;337.41;337.24;342.76;356.72;361.90;1100.17;1112.76;1116.21;1132.41;1132.07;1403.45;1393.10;1397.76;1401.03;1391.90;1397.76;1391.90;1397.93;1387.41;1397.76;1392.24;1403.10;1393.97;1404.83;1405.34;1416.38;1162.59;1166.55;1149.48;1140.34;437.41;418.62;403.28;369.14;359.48;393.28;358.10;351.72;370.17;386.90;503.62;442.24;422.59;412.76;416.03;408.79;403.79;404.14;397.93;390.34;392.59;392.76;388.28;392.76;393.10;108.97;101.38;100.34;105.34;104.48;101.55;105.86;432.07;465.86;702.76;695.34;701.55;596.90;586.90;550.86;371.03;356.25;-353.92;1011.00;0.00
4;1288.10;320.52;328.10;333.79;343.62;1067.24;1067.59;1078.10;1083.97;1321.21;1095.86;1316.90;1281.90;1281.55;1275.86;1282.41;1282.07;1274.14;1278.28;1276.55;1281.72;1277.07;1292.59;1310.00;1317.24;1316.72;1324.14;1334.14;1349.48;1138.28;1129.83;1350.34;1156.90;387.07;375.34;365.17;506.03;356.38;365.34;407.93;574.48;557.59;576.03;541.72;534.31;521.90;519.31;505.69;509.83;504.83;504.14;498.79;507.59;500.69;503.45;504.48;504.83;517.76;92.93;511.38;121.21;522.76;535.00;93.28;125.69;111.03;774.83;778.97;645.00;343.45;358.45;319.83;356.25;-354.50;1012.00;0.00
5;1162.07;311.72;310.86;321.21;331.03;1204.83;1194.66;1187.76;1179.31;1172.93;1173.45;1164.14;1167.59;1166.03;1160.34;1162.93;1156.72;1162.07;1161.38;1162.24;1160.52;1168.62;1168.97;1162.76;1174.31;1173.79;1181.38;1188.28;1194.31;1267.24;1272.93;385.86;364.14;361.03;355.86;354.14;619.66;377.76;360.34;373.10;739.66;712.24;650.86;666.21;633.45;633.10;645.34;635.17;623.10;620.34;621.38;623.45;618.10;622.76;620.34;616.21;623.62;626.38;630.00;644.14;633.10;637.07;665.69;662.76;677.24;686.90;714.48;808.45;707.93;863.79;312.24;331.72;356.25;-357.99;1012.00;0.00
6;1043.62;1147.59;1142.76;1158.62;1153.62;1134.83;1077.76;1062.76;1063.28;1057.24;1052.93;1050.86;1049.48;1050.00;1044.14;1049.48;1049.66;1045.86;1045.86;1044.31;1050.34;1044.83;1051.55;1053.97;1057.24;1063.79;1068.45;1083.79;1079.83;1108.62;409.48;373.28;349.83;348.10;342.93;337.59;735.86;389.83;395.69;1094.31;843.97;817.59;795.86;765.17;754.48;754.66;749.48;741.72;741.90;737.24;732.59;730.86;743.97;734.31;736.21;733.62;738.10;737.76;744.83;757.76;748.79;755.34;775.00;796.38;802.59;826.55;946.55;916.21;946.90;901.03;941.55;302.93;365.85;-356.25;1012.00;0.00
7;934.14;1056.21;1060.86;1045.86;1043.45;974.14;968.10;952.93;948.62;939.83;939.66;936.38;934.31;932.07;930.17;932.59;921.72;928.62;923.10;928.45;933.79;932.93;932.24;938.62;945.52;947.41;954.14;980.17;982.93;998.97;1013.79;353.28;339.83;332.59;327.07;327.24;849.31;475.17;486.90;493.28;450.00;468.10;887.59;484.83;871.72;858.10;869.83;872.24;856.90;849.48;846.55;849.14;852.76;852.76;848.97;843.28;852.07;167.59;863.28;870.69;122.41;122.59;885.17;884.48;897.76;903.28;335.86;330.52;312.07;310.17;314.48;303.62;365.27;-365.85;1012.00;0.00
8;815.69;1132.93;1142.59;1058.28;952.41;954.48;850.52;843.62;833.10;825.34;822.07;816.55;817.59;813.62;816.03;816.72;811.90;816.38;807.59;817.24;814.31;815.69;822.24;823.28;826.03;843.28;849.14;891.38;881.55;388.28;370.69;335.52;322.07;320.00;313.97;313.79;962.93;569.14;1065.34;569.66;1123.97;565.86;1008.28;1010.52;978.62;967.24;993.10;988.28;960.00;962.07;955.17;965.86;965.34;960.34;965.86;137.76;134.66;129.66;125.52;144.14;121.55;122.41;996.90;1022.93;388.97;370.86;360.69;352.93;338.10;344.14;331.21;329.66;0.00;-360.61;1012.00;0.00
9;693.45;1023.28;1019.31;880.86;1066.72;737.07;727.59;721.90;713.62;706.03;699.83;705.17;700.00;700.00;699.31;699.66;699.66;693.28;699.66;696.72;700.00;700.86;705.86;711.38;716.21;718.28;732.93;742.24;778.10;772.93;336.03;322.41;303.45;306.03;300.00;299.14;1077.24;1041.03;1056.03;1076.03;1109.48;1124.14;1122.07;1110.00;1098.62;1099.83;1087.07;1095.52;1086.90;1077.24;1073.79;1069.48;1077.59;1078.28;1070.00;1078.62;1073.28;1086.55;1095.86;151.55;1084.83;1108.62;1113.97;158.45;1108.97;412.24;384.14;381.38;365.69;376.90;366.90;355.00;365.56;-363.23;1011.00;0.00
10;582.41;841.21;826.03;833.45;829.83;872.59;629.83;606.72;606.21;595.00;587.76;590.17;582.59;585.17;583.79;583.28;584.31;584.31;583.28;583.10;585.00;585.52;591.38;593.10;598.79;611.38;626.03;659.14;673.62;670.52;324.83;302.41;292.59;292.07;285.52;276.72;1178.10;1096.55;1125.52;1231.38;1161.90;1167.76;1250.00;1252.24;1166.90;1197.24;1177.59;1173.10;1184.66;1185.17;1184.48;1181.90;1188.45;1182.07;1188.10;1189.66;1196.38;1188.79;158.97;149.48;141.03;137.41;133.28;122.59;424.83;415.00;400.52;403.79;384.83;392.76;379.83;364.66;354.21;-356.25;1012.00;0.00
